"Refs","Value","Footprint","Qty","DNP"
"C1","22u","Capacitor_SMD:C_1206_3216Metric","1",""
"C2","4.7u","Capacitor_SMD:C_1206_3216Metric","1",""
"C3","4.7u","Capacitor_SMD:C_1206_3216Metric","1",""
"C4","10n","Capacitor_SMD:C_1206_3216Metric","1",""
"C5","10n","Capacitor_SMD:C_1206_3216Metric","1",""
"C6","2.2n","Capacitor_SMD:C_1206_3216Metric","1",""
"C7","22p","Capacitor_SMD:C_1206_3216Metric","1",""
"C8","47u","Capacitor_SMD:C_1206_3216Metric","1",""
"C9","47u","Capacitor_SMD:C_1206_3216Metric","1",""
"C10","0.1u","Capacitor_SMD:C_1206_3216Metric","1",""
"C11","10u","Capacitor_SMD:C_1206_3216Metric","1",""
"C12","22n","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","SS54","","1",""
"D2","LED","","1",""
"D3","PWR_FLT","","1",""
"J1","Conn_01x06","Connector_Wire:SolderWire-1sqmm_1x06_P7.8mm_D1.4mm_OD3.9mm","1",""
"J2","Pogo_01x06_male","","1",""
"J3","G-Switch GT-USB-7010ASV","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","1",""
"J4","2.4 OLED","","1",""
"J5","0.96 OLED","","1",""
"L1","4.7u","","1",""
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","1",""
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","1",""
"R1","665k","Resistor_SMD:R_1206_3216Metric","1",""
"R2","10k","Resistor_SMD:R_1206_3216Metric","1",""
"R3","10k","Resistor_SMD:R_1206_3216Metric","1",""
"R4","10k","Resistor_SMD:R_1206_3216Metric","1",""
"R5","24K","Resistor_SMD:R_1206_3216Metric","1",""
"R6","10","Resistor_SMD:R_1206_3216Metric","1",""
"R7","10K","Resistor_SMD:R_1206_3216Metric","1",""
"R8","150","Resistor_SMD:R_1206_3216Metric","1",""
"R9","130k","Resistor_SMD:R_1206_3216Metric","1",""
"R10","37.4k","Resistor_SMD:R_1206_3216Metric","1",""
"R11","51.1","Resistor_SMD:R_1206_3216Metric","1",""
"R12","10.2k","Resistor_SMD:R_1206_3216Metric","1",""
"R13","1.96k","Resistor_SMD:R_1206_3216Metric","1",""
"R14","120k","Resistor_SMD:R_1206_3216Metric","1",""
"R15","6.49k","Resistor_SMD:R_1206_3216Metric","1",""
"R16","26.7k","Resistor_SMD:R_1206_3216Metric","1",""
"R17","20k","Resistor_SMD:R_1206_3216Metric","1",""
"R18","120k","Resistor_SMD:R_1206_3216Metric","1",""
"R19","42.2k","Resistor_SMD:R_1206_3216Metric","1",""
"R20","8.66k","Resistor_SMD:R_1206_3216Metric","1",""
"R21","1.5k","Resistor_SMD:R_1206_3216Metric","1",""
"R22","10k","Resistor_SMD:R_1206_3216Metric","1",""
"S1","PEC12R-4120F-S0012","PEC12R-4120F-S0012:XDCR_PEC12R-4120F-S0012","1",""
"SW1","B3F-4055","external_footprints.petty:SW_B3F-4055","1",""
"SW2","B3F-4055","external_footprints.petty:SW_B3F-4055","1",""
"U1","XIAO-ESP32-C6-SMD","","1",""
"U2","CH224K","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm_ThermalVias","1",""
"U3","TPS54531DDAR","TPS54531DDAR:CONV_TPS54531DDAR","1",""
"U4","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U5","TPS25942ARVCR","TPS25942ARVCR:IC_TPS25942ARVCR","1",""
